iter	Passed	Remaining
0	1	129
1	2	120
2	3	114
3	4	106
4	5	113
5	6	108
6	8	114
7	10	117
8	10	110
9	11	106
10	12	103
11	13	99
12	15	102
13	17	106
14	19	109
15	21	110
16	22	110
17	23	108
18	24	105
19	25	103
20	27	101
21	28	100
22	29	99
23	30	97
24	32	96
25	33	94
26	34	92
27	34	89
28	35	87
29	36	86
30	37	84
31	38	82
32	39	80
33	40	79
34	42	78
35	43	76
36	44	75
37	45	74
38	46	73
39	47	71
40	49	70
41	49	68
42	50	67
43	51	65
44	52	64
45	54	63
46	55	63
47	57	61
48	58	60
49	59	59
50	60	57
51	61	56
52	62	55
53	63	54
54	64	52
55	65	51
56	66	49
57	67	48
58	68	47
59	69	46
60	70	45
61	71	44
62	73	42
63	74	41
64	75	40
65	76	39
66	77	38
67	79	37
68	80	36
69	82	35
70	83	34
71	84	33
72	86	31
73	87	30
74	89	29
75	90	28
76	91	27
77	92	26
78	93	24
79	94	23
80	95	22
81	96	21
82	97	20
83	98	18
84	100	17
85	101	16
86	102	15
87	103	14
88	104	12
89	105	11
90	107	10
91	108	9
92	109	8
93	110	7
94	111	5
95	112	4
96	113	3
97	114	2
98	115	1
99	116	0
